Date,Product,Sales,Quantity
1974-11-02,car,35,66
2017-11-11,tax,77,35
2001-08-17,small,86,25
1984-05-26,reveal,54,39
1987-05-21,society,28,70
2001-03-25,peace,31,30
1991-01-08,box,45,72
2010-07-25,important,43,33
1993-07-06,vote,78,81
1996-03-12,collection,75,52
2019-03-22,believe,31,33
1993-02-25,rest,80,86
1987-03-09,I,59,21
1970-12-05,like,54,32
1987-11-19,idea,64,26
2023-08-07,anything,51,43
2003-08-25,section,27,20
2001-05-31,simply,39,85
2008-06-13,out,32,75
2002-06-10,investment,87,63
1997-10-04,political,35,52
1972-12-04,safe,41,73
1979-01-29,receive,79,45
1973-07-08,compare,31,33
1988-10-07,threat,76,73
1995-08-20,TV,76,56
1977-09-09,charge,53,27
1988-11-18,pay,33,62
1974-12-15,young,48,80
2020-12-13,should,85,70
1993-05-31,color,81,42
2005-05-19,inside,27,83
1970-01-11,so,21,87
1985-06-07,follow,87,70
2018-08-16,physical,79,41
2013-02-09,light,75,31
2019-03-14,mean,58,42
1975-04-09,think,60,56
1979-05-07,property,42,62
1998-07-22,half,24,67
1991-12-02,direction,84,42
2015-05-25,side,35,84
2020-08-07,sing,70,71
1994-01-29,three,87,55
1989-07-24,cut,41,59
2015-03-29,early,26,32
2012-04-16,until,42,39
1993-03-19,join,56,53
2021-02-23,six,25,36
1988-04-25,per,19,45
1996-09-13,tend,75,29
1976-06-06,include,87,23
1995-03-10,position,19,20
1976-12-06,around,82,69
1999-04-08,hand,31,35
2013-04-16,wish,46,63
1992-09-12,goal,85,75
1989-10-29,while,23,31
1970-04-16,professor,33,53
2013-10-08,think,76,25
2007-12-25,suddenly,44,61
2005-02-12,week,19,40
2023-01-24,they,46,31
1986-01-24,big,88,31
2001-10-07,it,32,56
2019-10-26,shake,36,30
2000-08-01,claim,52,87
1991-01-07,over,54,32
1991-06-17,check,19,54
1994-05-13,it,33,81
2018-03-30,process,60,60
1979-10-08,ask,62,37
1970-01-31,speech,32,54
1990-02-04,candidate,30,80
2003-10-21,wonder,26,65
2022-06-03,research,24,63
1987-08-04,face,24,49
2019-07-01,community,29,40
2005-12-18,suffer,39,85
2015-01-03,building,22,27
2017-03-27,like,46,74
2019-02-25,business,46,76
1979-12-12,carry,76,29
1993-05-21,production,23,28
2015-10-20,yard,83,73
1989-07-06,time,90,54
1980-08-28,state,79,23
1998-10-09,particular,49,31
1995-09-11,music,59,75
1999-08-04,reach,73,54
2014-06-05,box,20,81
2022-07-21,stay,26,60
1979-05-19,by,51,59
1977-02-08,development,78,62
2004-05-28,around,24,86
1972-02-25,position,44,49
2013-10-17,perform,61,53
1973-02-16,success,42,48
1991-01-29,field,40,85
2023-02-17,receive,41,72
